timestamps,open,high,low,close,volume,amount
2026-05-19 14:55:00,18.49,18.52,18.46,18.47,2132800,39441616.9354
2026-05-19 15:00:00,18.47,18.48,18.42,18.45,2485327,45869232.4509
2026-05-20 09:35:00,18.0,18.27,18.0,18.18,7157000,129807261.5343
2026-05-20 09:40:00,18.18,18.39,17.96,18.01,3877300,70593263.7336
2026-05-20 09:45:00,18.02,18.17,17.9,18.07,4132700,74611722.088
2026-05-20 09:50:00,18.07,18.22,18.06,18.2,1613200,29299950.975
2026-05-20 09:55:00,18.19,18.2,18.06,18.13,1559589,28232820.7368
2026-05-20 10:00:00,18.11,18.25,18.1,18.17,1246870,22674180.4681
2026-05-20 10:05:00,18.17,18.18,18.0,18.07,1317830,23830335.5825
2026-05-20 10:10:00,18.06,18.16,18.03,18.06,942400,17059605.9348
2026-05-20 10:15:00,18.07,18.1,17.93,17.95,1474500,26517628.7032
2026-05-20 10:20:00,17.95,17.97,17.91,17.91,1169600,20980387.0409
2026-05-20 10:25:00,17.91,18.04,17.9,18.03,843593,15141227.8636
2026-05-20 10:30:00,18.03,18.21,18.02,18.2,1639800,29719806.0105
2026-05-20 10:35:00,18.19,18.25,17.96,18.03,1377100,24870855.8362
2026-05-20 10:40:00,18.02,18.28,18.02,18.15,1870900,34024531.7954
2026-05-20 10:45:00,18.15,18.16,18.02,18.09,933260,16888599.0297
2026-05-20 10:50:00,18.09,18.13,18.01,18.09,774113,13988080.069
2026-05-20 10:55:00,18.07,18.25,18.05,18.18,1444200,26238783.9369
2026-05-20 11:00:00,18.19,18.32,18.14,18.18,2302100,41988940.6385
2026-05-20 11:05:00,18.18,18.27,18.18,18.19,852400,15532116.9648
2026-05-20 11:10:00,18.19,18.24,18.14,18.23,586500,10660391.9735
2026-05-20 11:15:00,18.24,18.25,18.19,18.2,498800,9089487.8962
2026-05-20 11:20:00,18.2,18.4,18.2,18.37,1407900,25774970.9517
2026-05-20 11:25:00,18.37,18.4,18.33,18.4,1158300,21273205.0447
2026-05-20 11:30:00,18.39,19.18,18.39,19.1,9886516,185784647.8375
2026-05-20 13:05:00,19.15,19.48,18.85,19.15,16673500,318571532.9012
2026-05-20 13:10:00,19.15,19.23,19.01,19.06,7457300,142729225.7735
2026-05-20 13:15:00,19.06,19.07,18.94,19.01,3001300,56999127.866
2026-05-20 13:20:00,19.01,19.01,18.85,18.87,2148500,40669587.9729
2026-05-20 13:25:00,18.87,18.88,18.73,18.74,1939300,36448715.0839
2026-05-20 13:30:00,18.74,18.78,18.69,18.71,1667200,31206629.537
2026-05-20 13:35:00,18.71,18.85,18.7,18.78,2434000,45714795.8867
2026-05-20 13:40:00,18.77,18.81,18.72,18.79,1335900,25078077.1993
2026-05-20 13:45:00,18.8,18.81,18.67,18.68,1498200,28055373.0688
2026-05-20 13:50:00,18.67,18.71,18.61,18.69,1356600,25326381.0481
2026-05-20 13:55:00,18.69,18.75,18.67,18.7,1101400,20609633.7766
2026-05-20 14:00:00,18.7,18.71,18.64,18.66,961514,17959405.8795
2026-05-20 14:05:00,18.65,18.71,18.63,18.7,1075578,20089009.1205
2026-05-20 14:10:00,18.7,18.75,18.62,18.62,1064808,19901612.0184
2026-05-20 14:15:00,18.63,18.7,18.63,18.68,706092,13184239.9632
2026-05-20 14:20:00,18.69,18.69,18.63,18.67,831700,15515992.9794
2026-05-20 14:25:00,18.67,18.72,18.66,18.71,895800,16744140.9491
2026-05-20 14:30:00,18.71,18.71,18.65,18.67,957450,17883976.5765
2026-05-20 14:35:00,18.68,18.79,18.68,18.76,1653400,30992686.9309
2026-05-20 14:40:00,18.77,18.98,18.76,18.8,1820400,34273858.1058
2026-05-20 14:45:00,18.8,18.83,18.76,18.8,1796700,33772483.2731
2026-05-20 14:50:00,18.8,18.89,18.78,18.83,2019500,38057430.881
2026-05-20 14:55:00,18.83,18.85,18.8,18.82,2513800,47324332.9985
2026-05-20 15:00:00,18.82,18.85,18.68,18.8,3324800,62489031.0686
2026-05-21 09:35:00,18.7,19.07,18.56,18.91,11663500,219786051.2878
2026-05-21 09:40:00,18.9,18.98,18.6,18.69,5537782,104125185.978
2026-05-21 09:45:00,18.66,18.69,18.31,18.43,5324600,98292621.1028
2026-05-21 09:50:00,18.44,18.57,18.35,18.49,3049398,56225280.6022
2026-05-21 09:55:00,18.5,18.58,18.44,18.47,1821500,33692362.9395
2026-05-21 10:00:00,18.48,18.49,18.25,18.47,4470100,82072758.0835
2026-05-21 10:05:00,18.47,18.54,18.39,18.42,2566600,47377648.6321
2026-05-21 10:10:00,18.45,18.49,18.35,18.49,1829900,33709633.9998
2026-05-21 10:15:00,18.49,18.71,18.46,18.68,2483900,46246039.1217
2026-05-21 10:20:00,18.67,18.69,18.52,18.53,1012000,18801511.0127
2026-05-21 10:25:00,18.53,18.53,18.4,18.47,1098700,20293829.9192
2026-05-21 10:30:00,18.47,18.5,18.34,18.38,1345100,24788831.7975
2026-05-21 10:35:00,18.38,18.4,18.29,18.31,1527400,28007884.087
2026-05-21 10:40:00,18.3,18.4,18.28,18.3,1505700,27600743.9607
2026-05-21 10:45:00,18.3,18.36,18.24,18.24,1681400,30757303.2941
2026-05-21 10:50:00,18.24,18.33,18.23,18.27,1024300,18711795.0671
2026-05-21 10:55:00,18.27,18.32,18.18,18.21,1517300,27664090.9922
2026-05-21 11:00:00,18.22,18.36,18.19,18.31,1027000,18725372.9159
2026-05-21 11:05:00,18.3,18.31,18.24,18.26,661200,12078322.0563
2026-05-21 11:10:00,18.26,18.34,18.22,18.33,740700,13533915.051
2026-05-21 11:15:00,18.33,18.33,18.27,18.29,523700,9579050.1532
2026-05-21 11:20:00,18.29,18.4,18.28,18.31,1000300,18358243.9954
2026-05-21 11:25:00,18.31,18.4,18.3,18.35,462900,8494250.9884
2026-05-21 11:30:00,18.35,18.36,18.24,18.25,716100,13082342.0184
2026-05-21 13:05:00,18.25,18.28,18.2,18.26,1135100,20701014.9175
2026-05-21 13:10:00,18.27,18.27,18.16,18.16,863900,15728785.9635
2026-05-21 13:15:00,18.16,18.2,18.15,18.17,1016013,18466464.9433
2026-05-21 13:20:00,18.17,18.25,18.15,18.21,1037700,18881642.7358
2026-05-21 13:25:00,18.21,18.22,18.17,18.18,568800,10345908.0011
2026-05-21 13:30:00,18.18,18.21,18.16,18.17,613500,11155657.0341
2026-05-21 13:35:00,18.16,18.16,18.09,18.1,1846400,33458901.869
2026-05-21 13:40:00,18.11,18.16,18.1,18.15,661700,12001685.0046
2026-05-21 13:45:00,18.14,18.15,18.1,18.13,777400,14089810.9618
2026-05-21 13:50:00,18.13,18.14,18.06,18.07,778811,14094758.9012
2026-05-21 13:55:00,18.07,18.09,18.06,18.07,647000,11694065.0
2026-05-21 14:00:00,18.08,18.09,18.03,18.03,854800,15434282.9042
2026-05-21 14:05:00,18.03,18.06,18.0,18.0,1213600,21872197.189
2026-05-21 14:10:00,18.0,18.05,17.96,17.97,1401639,25237174.5164
2026-05-21 14:15:00,17.97,17.99,17.88,17.94,1311683,23525381.4631
2026-05-21 14:20:00,17.93,17.97,17.87,17.9,1026100,18378815.9569
2026-05-21 14:25:00,17.9,17.92,17.8,17.81,1443300,25770132.9725
2026-05-21 14:30:00,17.8,17.82,17.7,17.72,1650500,29344172.694
2026-05-21 14:35:00,17.73,17.78,17.66,17.66,1828600,32381048.0719
2026-05-21 14:40:00,17.66,17.89,17.6,17.75,4240077,75305243.3827
2026-05-21 14:45:00,17.79,17.85,17.6,17.65,2339000,41431720.4791
2026-05-21 14:50:00,17.65,17.7,17.56,17.58,3033600,53451480.6918
2026-05-21 14:55:00,17.58,17.62,17.45,17.52,2901400,50817509.5421
2026-05-21 15:00:00,17.53,17.65,17.49,17.58,2031348,35667195.2927
2026-05-22 09:35:00,17.72,17.82,17.36,17.64,7739562,135938894.0363
