open,high,low,close,volume,amount,type
20.51,20.6,20.31,20.48,1875784.0,38360338.8502,历史
20.48,20.49,20.32,20.41,1386516.0,28270276.4852,历史
20.4,20.43,20.3,20.36,1632685.0,33217891.3456,历史
20.36,20.38,20.31,20.33,1184400.0,24093462.0535,历史
20.34,20.35,20.11,20.22,2231600.0,45078148.7802,历史
20.22,20.29,20.1,20.22,1702997.0,34356900.3936,历史
20.23,20.27,20.13,20.2,1090903.0,22021618.6046,历史
20.19,20.32,20.18,20.22,1096397.0,22200661.4275,历史
20.22,20.24,20.15,20.24,914500.0,18456960.9952,历史
20.24,20.25,20.13,20.14,1058327.0,21344249.3096,历史
20.14,20.29,20.13,20.24,563869.0,11394453.4032,历史
20.24,20.24,20.13,20.16,707615.0,14274164.3101,历史
20.17,20.3,20.13,20.27,940369.0,18973999.1722,历史
20.26,20.35,20.18,20.31,785200.0,15905651.2249,历史
20.31,20.33,20.07,20.08,1475900.0,29781845.9811,历史
20.07,20.16,20.0,20.16,1460690.0,29250885.0356,历史
20.16,20.2,20.02,20.19,748500.0,15026400.1428,历史
20.19,20.2,20.05,20.08,777000.0,15613251.9529,历史
20.08,20.1,20.01,20.01,835100.0,16749717.0668,历史
20.02,20.06,20.0,20.0,1122695.0,22471835.1267,历史
20.0,20.01,19.91,19.98,2294100.0,45808975.0245,历史
19.97,20.13,19.93,20.09,1730780.0,34628548.9937,历史
20.08,20.1,19.98,19.98,580800.0,11619236.0132,历史
19.99,20.0,19.88,19.91,1795600.0,35772632.9177,历史
19.91,19.93,19.88,19.89,1226500.0,24411699.9978,历史
19.88,19.94,19.83,19.86,2073800.0,41207860.6938,历史
19.86,19.9,19.8,19.8,1663600.0,33021576.98,历史
19.8,19.83,19.74,19.81,1945800.0,38490563.4973,历史
19.81,19.85,19.76,19.82,1103699.0,21863068.3279,历史
19.81,19.88,19.78,19.87,720300.0,14287841.0078,历史
19.88,19.88,19.79,19.86,903099.0,17910253.1474,历史
19.86,20.09,19.82,20.08,1119558.0,22290575.577,历史
20.08,20.18,19.98,20.01,1293000.0,25976429.8597,历史
20.0,20.03,19.87,19.88,929000.0,18564483.7266,历史
19.91,19.94,19.86,19.92,1015500.0,20198037.9229,历史
19.91,20.0,19.91,19.99,1173322.0,23434439.5279,历史
19.99,19.99,19.87,19.9,2575526.0,51289500.6504,历史
19.88,19.92,19.86,19.87,3124697.0,62112681.5612,历史
19.59,19.68,19.27,19.3,12535110.0,243587549.203,历史
19.3,20.07,19.3,20.05,6153661.0,121925310.7716,历史
20.05,20.23,19.94,20.23,6298642.0,126537269.4247,历史
20.22,20.25,20.04,20.12,2393800.0,48228773.5541,历史
20.12,20.25,19.93,20.24,2779700.0,55903452.067,历史
20.25,20.27,19.93,19.95,2316800.0,46578448.9381,历史
19.94,20.0,19.79,19.89,2192000.0,43649165.7139,历史
19.88,19.89,19.62,19.69,2462600.0,48639702.8876,历史
19.69,19.79,19.58,19.77,1831902.0,36004145.0099,历史
19.78,19.78,19.58,19.62,1448719.0,28442603.3619,历史
19.6,19.62,19.47,19.51,1981284.0,38707907.4536,历史
19.51,19.7,19.5,19.56,1378201.0,26961051.4791,历史
19.56,19.58,19.39,19.39,1356900.0,26437859.9453,历史
19.39,19.46,19.31,19.37,1913478.0,37061237.0058,历史
19.36,19.43,19.32,19.32,1132527.0,21950725.498,历史
19.32,19.39,19.3,19.31,1407404.0,27203019.1743,历史
19.31,19.52,19.3,19.41,1456084.0,28211588.569,历史
19.41,19.41,19.31,19.32,624978.0,12097866.0963,历史
19.32,19.32,19.2,19.26,2565146.0,49407104.5547,历史
19.25,19.26,19.19,19.19,1307000.0,25116118.4117,历史
19.2,19.2,18.93,19.01,4201315.0,79924971.239,历史
19.01,19.15,18.91,18.92,2047671.0,38905865.3383,历史
18.92,19.14,18.92,19.07,1269777.0,24181304.5561,历史
19.06,19.08,18.93,18.93,807100.0,15336968.947,历史
18.94,19.17,18.89,18.97,2253414.0,42757118.1077,历史
18.98,19.11,18.91,19.09,1188800.0,22613641.9449,历史
19.1,19.14,19.03,19.14,882859.0,16851031.6914,历史
19.14,19.26,19.09,19.1,779241.0,14945696.7128,历史
19.1,19.1,19.01,19.07,646408.0,12323582.0559,历史
19.07,19.18,19.04,19.17,568491.0,10872610.0603,历史
19.17,19.26,19.11,19.13,704786.0,13517161.163,历史
19.13,19.15,19.06,19.13,919700.0,17560661.0659,历史
19.12,19.17,19.08,19.08,576500.0,11026353.9336,历史
19.09,19.13,19.07,19.09,439300.0,8387600.0234,历史
19.08,19.27,19.07,19.22,1004600.0,19274607.9818,历史
19.23,19.34,19.2,19.33,777200.0,14990199.9293,历史
19.33,19.35,19.28,19.32,720500.0,13915973.0493,历史
19.32,19.43,19.25,19.28,913600.0,17664041.011,历史
19.27,19.37,19.25,19.37,607700.0,11735389.2547,历史
