open,high,low,close,volume,amount,type
20.61,21.26,19.88,20.0,14263035.0,291422806.7263,历史
20.0,20.65,19.99,20.65,5832075.0,118631133.6118,历史
20.65,21.06,20.45,20.86,4301862.0,89367217.178,历史
20.88,21.15,20.73,20.75,5061500.0,106131919.3652,历史
20.74,20.9,20.3,20.49,2601318.0,53704566.292,历史
20.48,20.83,20.37,20.56,1634900.0,33738871.0442,历史
20.57,20.75,20.43,20.52,1223800.0,25189220.9965,历史
20.52,20.62,20.45,20.55,919400.0,18884505.2325,历史
20.55,20.84,20.47,20.47,1329800.0,27499883.0317,历史
20.46,20.52,20.34,20.36,1251300.0,25556075.9111,历史
20.37,20.4,20.06,20.06,1575882.0,31893194.3713,历史
20.06,20.27,20.03,20.25,1308293.0,26348842.7218,历史
20.24,20.24,20.01,20.08,1439807.0,28949854.5515,历史
20.08,20.34,20.08,20.17,1027100.0,20759890.9653,历史
20.16,20.27,20.11,20.14,646600.0,13042707.9705,历史
20.13,20.14,19.86,19.86,2627900.0,52542386.9565,历史
19.86,19.93,19.73,19.9,2211800.0,43847769.9447,历史
19.9,20.0,19.81,19.81,912900.0,18174892.9816,历史
19.81,19.95,19.8,19.9,823700.0,16355640.8934,历史
19.89,20.31,19.88,20.3,869100.0,17397332.9823,历史
20.28,20.72,20.18,20.48,2647959.0,54230212.1813,历史
20.49,20.67,20.23,20.34,975200.0,19934037.0502,历史
20.34,20.38,20.2,20.3,339300.0,6883194.0084,历史
20.3,20.35,20.23,20.33,388600.0,7883973.0137,历史
20.29,20.34,19.93,19.99,779400.0,15642910.0515,历史
19.99,20.0,19.88,19.88,836900.0,16683341.947,历史
19.89,19.93,19.85,19.85,772700.0,15375280.2931,历史
19.85,19.9,19.8,19.82,1189300.0,23606964.0022,历史
19.82,19.83,19.63,19.72,1525900.0,30101333.9506,历史
19.71,19.83,19.65,19.77,1055921.0,20855188.6735,历史
19.77,19.89,19.75,19.88,809200.0,16058487.0875,历史
19.86,19.88,19.75,19.88,610100.0,12081040.015,历史
19.87,19.98,19.83,19.86,525000.0,10443497.9711,历史
19.85,19.87,19.78,19.78,504100.0,9995934.0343,历史
19.78,19.83,19.77,19.8,337400.0,6678493.0861,历史
19.8,19.88,19.78,19.78,638900.0,12656758.0458,历史
19.78,19.79,19.67,19.73,888700.0,17534832.0345,历史
19.72,19.73,19.65,19.66,578600.0,11386018.9749,历史
19.67,19.73,19.61,19.68,942200.0,18505776.9425,历史
19.68,19.72,19.62,19.7,732100.0,14401000.9174,历史
19.71,19.71,19.61,19.62,691942.0,13589113.1046,历史
19.62,19.67,19.6,19.67,569000.0,11163741.9955,历史
19.67,19.77,19.66,19.7,731500.0,14414199.9994,历史
19.69,19.86,19.69,19.84,538400.0,10651635.9393,历史
19.84,19.85,19.69,19.7,782600.0,15452447.8839,历史
19.7,19.7,19.6,19.63,1447171.0,28416513.6705,历史
19.62,19.62,19.51,19.59,2683382.0,52528969.2155,历史
19.59,19.75,19.56,19.7,1876200.0,36868787.2526,历史
19.45,19.56,18.81,19.21,7573490.0,145512366.8054,历史
19.22,19.38,18.85,18.93,3989707.0,76092184.8962,历史
18.94,19.04,18.6,18.62,5060612.0,95174033.8391,历史
18.62,18.81,18.46,18.47,3701261.0,68975852.197,历史
18.47,18.48,17.95,18.41,7065462.0,128891435.8583,历史
18.4,18.42,18.15,18.36,2257177.0,41297116.8331,历史
18.36,18.37,17.98,17.99,2240410.0,40559396.5877,历史
17.98,18.1,17.8,17.85,3113000.0,55872559.5779,历史
17.85,17.87,17.73,17.74,6115291.0,108520440.2214,历史
17.74,17.91,17.73,17.83,1782500.0,31689569.9631,历史
17.83,17.92,17.76,17.9,1211928.0,21584094.1789,历史
17.91,18.15,17.85,18.08,1312400.0,23644008.8538,历史
18.09,18.19,18.06,18.12,992200.0,17985602.0039,历史
18.12,18.26,18.11,18.26,928684.0,16903496.3506,历史
18.25,18.46,18.2,18.23,1554500.0,28535399.6533,历史
18.2,18.24,18.03,18.06,752000.0,13643151.8652,历史
18.06,18.21,18.04,18.07,655500.0,11869248.9521,历史
18.07,18.08,17.92,18.0,814500.0,14657328.0264,历史
18.01,18.18,17.97,18.06,454000.0,8208068.9843,历史
18.07,18.2,18.07,18.19,432300.0,7836469.0507,历史
18.18,18.52,18.18,18.49,1103900.0,20272211.9279,历史
18.49,18.52,18.3,18.4,976400.0,18017956.9139,历史
18.41,18.44,18.3,18.41,703400.0,12923374.9666,历史
18.41,18.46,18.27,18.27,594800.0,10943334.0172,历史
18.27,18.28,18.13,18.18,1075400.0,19552531.9728,历史
18.17,18.22,18.09,18.14,532800.0,9672570.0264,历史
18.14,18.2,18.11,18.15,543900.0,9873355.656,历史
