timestamps,open,high,low,close,volume,amount
2026-07-15 00:59:48.720412,16.88,16.92,16.71,16.73,1165600,19500488.0
2026-07-15 01:04:48.720412,16.72,16.84,16.72,16.81,699900,11765319.0
2026-07-15 01:09:48.720412,16.8,16.86,16.8,16.83,592300,9968408.999999998
2026-07-15 01:14:48.720412,16.84,16.86,16.77,16.81,1016300,17084003.0
2026-07-15 01:19:48.720412,16.81,16.86,16.81,16.83,690600,11622797.999999998
2026-07-15 01:24:48.720412,16.84,16.93,16.83,16.92,1081500,18298980.0
2026-07-15 01:29:48.720412,16.92,16.93,16.88,16.9,852068,14399949.2
2026-07-15 01:34:48.720412,16.86,16.88,16.83,16.85,1394432,23496179.200000003
2026-07-15 01:39:48.720412,16.85,16.88,16.83,16.88,1638610,27659736.799999997
2026-07-15 01:44:48.720412,16.55,16.79,16.45,16.58,6300700,104465605.99999999
2026-07-15 01:49:48.720412,16.59,16.87,16.49,16.86,3795100,63985386.0
2026-07-15 01:54:48.720412,16.82,17.0,16.79,16.88,3533300,59642104.0
2026-07-15 01:59:48.720412,16.88,17.01,16.87,16.95,2015300,34159335.0
2026-07-15 02:04:48.720412,16.95,16.96,16.84,16.86,1236400,20845704.0
2026-07-15 02:09:48.720412,16.87,16.89,16.64,16.64,1632300,27161472.0
2026-07-15 02:14:48.720412,16.66,16.88,16.6,16.79,1686119,28309938.009999998
2026-07-15 02:19:48.720412,16.77,16.81,16.6,16.63,1327500,22076325.0
2026-07-15 02:24:48.720412,16.64,16.64,16.47,16.5,1878700,30998550.0
2026-07-15 02:29:48.720412,16.5,16.68,16.5,16.65,979700,16312004.999999998
2026-07-15 02:34:48.720412,16.65,16.7,16.6,16.61,854100,14186601.0
2026-07-15 02:39:48.720412,16.61,16.65,16.56,16.59,747600,12402684.0
2026-07-15 02:44:48.720412,16.59,16.61,16.49,16.51,1043300,17224883.0
2026-07-15 02:49:48.720412,16.5,16.57,16.45,16.54,1192800,19728912.0
2026-07-15 02:54:48.720412,16.55,16.62,16.53,16.59,698200,11583138.0
2026-07-15 02:59:48.720412,16.6,16.76,16.6,16.76,897343,15039468.680000002
2026-07-15 03:04:48.720412,16.76,16.86,16.72,16.78,1101381,18481173.18
2026-07-15 03:09:48.720412,16.78,16.79,16.74,16.76,517300,8669948.0
2026-07-15 03:14:48.720412,16.76,16.8,16.74,16.75,506700,8487225.0
2026-07-15 03:19:48.720412,16.75,16.82,16.7,16.81,452800,7611567.999999999
2026-07-15 03:24:48.720412,16.81,16.81,16.69,16.7,413600,6907120.0
2026-07-15 03:29:48.720412,16.69,16.72,16.67,16.72,392600,6564272.0
2026-07-15 03:34:48.720412,16.7,16.72,16.67,16.67,299600,4994332.000000001
2026-07-15 03:39:48.720412,16.67,16.71,16.63,16.71,538600,9000006.0
2026-07-15 03:44:48.720412,16.7,16.71,16.59,16.59,680671,11292331.89
2026-07-15 03:49:48.720412,16.59,16.64,16.57,16.6,463900,7700740.000000001
2026-07-15 03:54:48.720412,16.6,16.66,16.6,16.65,347300,5782544.999999999
2026-07-15 03:59:48.720412,16.64,16.66,16.6,16.6,307900,5111140.0
2026-07-15 04:04:48.720412,16.6,16.63,16.58,16.62,388300,6453546.0
2026-07-15 04:09:48.720412,16.62,16.62,16.58,16.58,457200,7580375.999999999
2026-07-15 04:14:48.720412,16.6,16.6,16.56,16.56,594000,9836640.0
2026-07-15 04:19:48.720412,16.56,16.58,16.45,16.45,1231468,20257648.599999998
2026-07-15 04:24:48.720412,16.45,16.54,16.44,16.5,1003600,16559400.0
2026-07-15 04:29:48.720412,16.49,16.52,16.4,16.44,994200,16344648.000000002
2026-07-15 04:34:48.720412,16.44,16.46,16.42,16.44,506200,8321928.000000001
2026-07-15 04:39:48.720412,16.44,16.44,16.37,16.37,1064100,17419317.0
2026-07-15 04:44:48.720412,16.38,16.38,16.32,16.36,938804,15358833.44
2026-07-15 04:49:48.720412,16.36,16.36,16.28,16.29,979100,15949539.0
2026-07-15 04:54:48.720412,16.29,16.35,16.28,16.31,577200,9414132.0
2026-07-15 04:59:48.720412,16.32,16.42,16.32,16.41,484400,7949004.0
2026-07-15 05:04:48.720412,16.42,16.42,16.36,16.37,435800,7134046.0
2026-07-15 05:09:48.720412,16.38,16.38,16.32,16.33,466200,7613045.999999999
2026-07-15 05:14:48.720412,16.32,16.34,16.27,16.32,872885,14245483.200000001
2026-07-15 05:19:48.720412,16.32,16.34,16.29,16.3,566200,9229060.0
2026-07-15 05:24:48.720412,16.29,16.29,16.21,16.22,1144063,18556701.86
2026-07-15 05:29:48.720412,16.22,16.32,16.21,16.27,1258667,20478512.09
2026-07-15 05:34:48.720412,16.25,16.28,16.22,16.22,1386400,22487408.0
2026-07-15 05:39:48.720412,16.23,16.26,16.22,16.22,1310200,21251444.0
