timestamps,open,high,low,close,volume,amount
2026-06-17 09:35:00,20.7,20.7,20.05,20.15,10297297,210195543.9222
2026-06-17 09:40:00,20.15,20.6,20.09,20.36,5742638,116492268.094
2026-06-17 09:45:00,20.36,20.42,19.86,20.42,8002436,160707350.9761
2026-06-17 09:50:00,20.42,20.94,20.35,20.74,5093569,105314551.5826
2026-06-17 09:55:00,20.74,20.9,20.41,20.9,2523732,52119619.1328
2026-06-17 10:00:00,20.89,20.97,20.7,20.83,4019100,83900902.5684
2026-06-17 10:05:00,20.83,20.88,20.63,20.85,2029400,42106384.9453
2026-06-17 10:10:00,20.87,20.99,20.81,20.92,3116800,65218470.7705
2026-06-17 10:15:00,20.92,20.93,20.67,20.7,2846385,59196990.3778
2026-06-17 10:20:00,20.7,20.7,20.47,20.52,2271808,46689854.662
2026-06-17 10:25:00,20.51,20.6,20.31,20.48,1875784,38360338.8502
2026-06-17 10:30:00,20.48,20.49,20.32,20.41,1386516,28270276.4852
2026-06-17 10:35:00,20.4,20.43,20.3,20.36,1632685,33217891.3456
2026-06-17 10:40:00,20.36,20.38,20.31,20.33,1184400,24093462.0535
2026-06-17 10:45:00,20.34,20.35,20.11,20.22,2231600,45078148.7802
2026-06-17 10:50:00,20.22,20.29,20.1,20.22,1702997,34356900.3936
2026-06-17 10:55:00,20.23,20.27,20.13,20.2,1090903,22021618.6046
2026-06-17 11:00:00,20.19,20.32,20.18,20.22,1096397,22200661.4275
2026-06-17 11:05:00,20.22,20.24,20.15,20.24,914500,18456960.9952
2026-06-17 11:10:00,20.24,20.25,20.13,20.14,1058327,21344249.3096
2026-06-17 11:15:00,20.14,20.29,20.13,20.24,563869,11394453.4032
2026-06-17 11:20:00,20.24,20.24,20.13,20.16,707615,14274164.3101
2026-06-17 11:25:00,20.17,20.3,20.13,20.27,940369,18973999.1722
2026-06-17 11:30:00,20.26,20.35,20.18,20.31,785200,15905651.2249
2026-06-17 13:05:00,20.31,20.33,20.07,20.08,1475900,29781845.9811
2026-06-17 13:10:00,20.07,20.16,20.0,20.16,1460690,29250885.0356
2026-06-17 13:15:00,20.16,20.2,20.02,20.19,748500,15026400.1428
2026-06-17 13:20:00,20.19,20.2,20.05,20.08,777000,15613251.9529
2026-06-17 13:25:00,20.08,20.1,20.01,20.01,835100,16749717.0668
2026-06-17 13:30:00,20.02,20.06,20.0,20.0,1122695,22471835.1267
2026-06-17 13:35:00,20.0,20.01,19.91,19.98,2294100,45808975.0245
2026-06-17 13:40:00,19.97,20.13,19.93,20.09,1730780,34628548.9937
2026-06-17 13:45:00,20.08,20.1,19.98,19.98,580800,11619236.0132
2026-06-17 13:50:00,19.99,20.0,19.88,19.91,1795600,35772632.9177
2026-06-17 13:55:00,19.91,19.93,19.88,19.89,1226500,24411699.9978
2026-06-17 14:00:00,19.88,19.94,19.83,19.86,2073800,41207860.6938
2026-06-17 14:05:00,19.86,19.9,19.8,19.8,1663600,33021576.98
2026-06-17 14:10:00,19.8,19.83,19.74,19.81,1945800,38490563.4973
2026-06-17 14:15:00,19.81,19.85,19.76,19.82,1103699,21863068.3279
2026-06-17 14:20:00,19.81,19.88,19.78,19.87,720300,14287841.0078
2026-06-17 14:25:00,19.88,19.88,19.79,19.86,903099,17910253.1474
2026-06-17 14:30:00,19.86,20.09,19.82,20.08,1119558,22290575.577
2026-06-17 14:35:00,20.08,20.18,19.98,20.01,1293000,25976429.8597
2026-06-17 14:40:00,20.0,20.03,19.87,19.88,929000,18564483.7266
2026-06-17 14:45:00,19.91,19.94,19.86,19.92,1015500,20198037.9229
2026-06-17 14:50:00,19.91,20.0,19.91,19.99,1173322,23434439.5279
2026-06-17 14:55:00,19.99,19.99,19.87,19.9,2575526,51289500.6504
2026-06-17 15:00:00,19.88,19.92,19.86,19.87,3124697,62112681.5612
2026-06-18 09:35:00,19.59,19.68,19.27,19.3,12535110,243587549.203
