timestamps,open,high,low,close,volume,amount
2026-07-12 01:40:52.236344,20.0,21.38,20.0,21.07,27701276,573127338.0
2026-07-12 01:45:52.236344,21.09,21.33,20.71,21.06,13700401,288989231.0
2026-07-12 01:50:52.236344,21.03,21.23,20.8,20.8,8804720,185208705.0
2026-07-12 01:55:52.236344,20.8,20.99,20.7,20.98,7977660,166006971.0
2026-07-12 02:00:52.236344,20.99,20.99,20.33,20.56,9361699,192364188.0
2026-07-12 02:05:52.236344,20.54,20.55,20.35,20.36,5241902,107130682.0
2026-07-12 02:10:52.236344,20.35,20.53,20.34,20.38,3944342,80591368.0
2026-07-12 02:15:52.236344,20.4,20.55,20.19,20.55,5846673,118647470.0
2026-07-12 02:20:52.236344,20.55,20.74,20.51,20.55,3399642,70040555.0
2026-07-12 02:25:52.236344,20.54,20.69,20.5,20.5,1959300,40336429.0
2026-07-12 02:30:52.236344,20.49,20.5,20.35,20.5,1761600,35948845.0
2026-07-12 02:35:52.236344,20.5,20.54,20.43,20.46,1426500,29208892.0
2026-07-12 02:40:52.236344,20.46,20.66,20.45,20.55,1543176,31713440.0
2026-07-12 02:45:52.236344,20.55,20.55,20.45,20.52,879700,18029110.0
2026-07-12 02:50:52.236344,20.51,20.52,20.36,20.36,1540500,31473517.0
2026-07-12 02:55:52.236344,20.36,20.48,20.35,20.36,902439,18427474.0
2026-07-12 03:00:52.236344,20.36,20.38,20.3,20.3,1359292,27628466.0
2026-07-12 03:05:52.236344,20.3,20.41,20.3,20.41,841100,17099546.0
2026-07-12 03:10:52.236344,20.39,20.4,20.15,20.16,2335900,47325473.0
2026-07-12 03:15:52.236344,20.14,20.31,20.05,20.31,1937128,39020911.0
2026-07-12 03:20:52.236344,20.31,20.31,20.04,20.04,1145417,23061856.0
2026-07-12 03:25:52.236344,20.04,20.2,20.01,20.12,1425483,28609064.0
2026-07-12 03:30:52.236344,20.12,20.16,20.07,20.07,896600,18028582.0
2026-07-12 03:35:52.236344,20.07,20.08,20.0,20.02,1927798,38596321.0
2026-07-12 03:40:52.236344,20.02,20.33,20.02,20.29,1829800,36846138.0
2026-07-12 03:45:52.236344,20.29,20.5,20.17,20.4,1704700,34789209.0
2026-07-12 03:50:52.236344,20.39,20.39,20.21,20.36,723800,14685704.0
2026-07-12 03:55:52.236344,20.33,20.47,20.31,20.47,838500,17106087.0
2026-07-12 04:00:52.236344,20.47,20.48,20.41,20.42,868300,17749587.0
2026-07-12 04:05:52.236344,20.42,21.07,20.42,20.84,4869899,101588658.0
2026-07-12 04:10:52.236344,20.86,21.45,20.86,21.45,5158679,109361199.0
2026-07-12 04:15:52.236344,21.45,21.45,21.04,21.17,3157400,67227419.0
2026-07-12 04:20:52.236344,21.16,21.48,21.16,21.44,2631967,56137078.0
2026-07-12 04:25:52.236344,21.43,21.47,21.24,21.35,1870399,39960923.0
2026-07-12 04:30:52.236344,21.35,21.37,21.16,21.16,1317600,27999240.0
2026-07-12 04:35:52.236344,21.16,21.3,21.0,21.27,1297690,27405593.0
2026-07-12 04:40:52.236344,21.27,21.27,21.06,21.06,957900,20288025.0
2026-07-12 04:45:52.236344,21.07,21.2,21.07,21.19,586500,12399085.0
2026-07-12 04:50:52.236344,21.2,21.26,21.19,21.2,591700,12559730.0
2026-07-12 04:55:52.236344,21.2,21.2,21.17,21.2,516200,10939416.0
2026-07-12 05:00:52.236344,21.19,21.29,21.18,21.28,873190,18539741.0
2026-07-12 05:05:52.236344,21.28,21.28,21.22,21.24,684500,14548489.0
